id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 15 phút cho phản hồi ban đầu và 4 giờ cho việc xử lý và khắc phục [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,All claims in the answer are explicitly supported by the retrieved context.,5,Answer directly and completely provides the SLA for P1 ticket processing.,5,Retrieved: 1/1 expected sources,5,,baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,All claims in the answer are explicitly supported by the retrieved context.,5,Answer directly and completely addresses the question with a specific timeframe.,5,Retrieved: 1/1 expected sources,5,,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,All claims in the answer are explicitly supported by the retrieved context.,5,Answer directly addresses the question with all necessary approvals listed.,5,Retrieved: 1/1 expected sources,5,,baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác. Các sản phẩm kỹ thuật số như license key và subscription không đủ điều kiện hoàn tiền [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",4,"Answer implies digital products can be refunded under certain conditions, which is misleading.",5,Answer directly addresses the question and provides relevant details about refund conditions.,5,Retrieved: 1/1 expected sources,4,Missing the explicit mention that digital products are exceptions to the refund policy.,baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, cần liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,All claims in the answer are explicitly supported by the retrieved context.,5,Answer directly and completely addresses the question about account lockout after failed login attempts.,5,Retrieved: 1/1 expected sources,5,,baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,Escalation trong sự cố P1 diễn ra tự động lên Senior Engineer nếu không có phản hồi trong 10 phút kể từ khi ticket được tạo [2].,Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,All claims in the answer are explicitly supported by the retrieved context.,5,Answer directly explains the escalation process for P1 incidents.,5,Retrieved: 1/1 expected sources,5,,baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Tài liệu liên quan đến Approval Matrix để cấp quyền hệ thống là ""quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty"" được quy định trong tài liệu SOP về kiểm soát truy cập [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,3,The answer misidentifies the document type and context relevance.,5,Answer directly addresses the question with relevant details about the Approval Matrix.,5,Retrieved: 1/1 expected sources,3,Missing the specific name change to 'Access Control SOP' and the exact title of the document.,baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành probation period, và lịch remote phải được Team Lead phê duyệt qua HR Portal [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,All claims in the answer are explicitly supported by the retrieved context.,5,Answer directly and completely addresses the question about remote work days.,5,Retrieved: 1/1 expected sources,5,,baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Tôi không biết.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",1,The answer does not reference or relate to the retrieved context.,1,The answer does not address the question at all.,,No expected sources,1,Model answer does not address the error type or suggest contacting IT Helpdesk.,baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Không có thông tin cụ thể nào về quy trình hoàn tiền khẩn cấp cho khách hàng VIP trong tài liệu đã cung cấp. Do đó, tôi không biết.","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",3,"Answer lacks specific context on VIP refund process, relying on external knowledge.",2,The answer acknowledges the question but lacks relevant information about the process.,5,Retrieved: 1/1 expected sources,3,Missing the specific mention of the standard 3-5 day process for all refund requests.,baseline_dense
